asap0_id;name0_shr;crop_name;sos_s;sos_e;eos_s;eos_e
13;Kyrgyzstan;Wheat (Spring);6;12;29;33
20;Bangladesh;Rice (Aman);15;23;29;36
20;Bangladesh;Rice (Aus);4;13;16;23
20;Bangladesh;Rice (Boro);34;6;10;15
20;Bangladesh;Sorghum;15;28;33;36
29;Sudan;Millet;14;22;29;36
29;Sudan;Sorghum;14;22;29;36
33;Mozambique;Maize;31;34;19;23
33;Mozambique;Sorghum;30;36;14;18
35;Cuba;Rice (Main);8;14;19;22
35;Cuba;Sweet Potatoes;23;25;33;3
41;Laos;Rice (Wet season);13;22;32;3
51;Madagascar;Rice;30;2;15;20
51;Madagascar;Sorghum;32;1;21;24
52;El Salvador;Beans (Main);11;13;20;24
52;El Salvador;Beans (Second);23;26;34;36
52;El Salvador;Maize (Main);12;17;22;24
52;El Salvador;Maize (Second);24;27;1;3
59;Mali;Maize;12;21;29;35
59;Mali;Millet;12;21;29;35
59;Mali;Rice (Rainfed);16;21;33;3
59;Mali;Sorghum;12;21;29;35
61;Central Africa;Cassava;8;17;32;36
61;Central Africa;Rice (South);13;17;32;33
66;Ghana;Cassava (Year1, year2);4;10;15;24
66;Ghana;Maize (Second);23;28;34;2
66;Ghana;Maize (South/Main);7;10;20;24
66;Ghana;Millet;13;17;31;33
66;Ghana;Rice (North);13;17;31;36
66;Ghana;Sorghum;13;17;31;33
66;Ghana;Yams;4;10;20;24
67;Afghanistan;Rice;17;20;26;33
67;Afghanistan;Wheat (Spring);5;9;22;27
68;Haiti;Beans (Main);7;12;16;18
68;Haiti;Maize (Main);7;12;16;24
68;Haiti;Maize (Second);8;9;16;21
68;Haiti;Rice (Main);7;12;16;24
68;Haiti;Sorghum;22;26;36;5
74;Tanzania;Maize (Maika/Bimodal);6;9;17;24
74;Tanzania;Maize (Maimu/Unimodal);30;36;13;20
74;Tanzania;Maize (Vuli/Bimodal);25;31;1;5
74;Tanzania;Millet (Maika/Bimodal);6;9;17;24
74;Tanzania;Rice (Msimu/Unimodal);34;36;13;20
74;Tanzania;Sorghum (Maika/Bimodal);6;9;17;24
74;Tanzania;Sorghum (Maimu/Unimodal);30;36;13;20
77;Botswana;Maize;30;34;14;19
77;Botswana;Millet;30;34;14;19
77;Botswana;Sorghum;32;34;14;18
78;Iraq;Barley;29;36;10;16
78;Iraq;Wheat;32;35;12;16
79;Egypt;Barley;29;35;9;14
79;Egypt;Millet;15;19;23;29
79;Egypt;Wheat;25;35;9;15
80;Niger;Cowpea;17;20;28;36
80;Niger;Groundnut;17;20;28;36
80;Niger;Maize;17;20;28;36
80;Niger;Millet;17;20;28;36
80;Niger;Rice (Rainfed);17;20;28;36
80;Niger;Sorghum;17;20;28;36
81;Myanmar;Maize;34;36;6;10
81;Myanmar;Potatoes;9;13;17;20
81;Myanmar;Rice (Main);20;24;30;4
81;Myanmar;Rice (Second);34;36;6;10
82;Senegal;Groundnut;16;21;31;5
82;Senegal;Maize;16;21;30;34
82;Senegal;Millet;18;21;30;33
82;Senegal;Rice;16;21;31;3
82;Senegal;Sorghum;18;21;30;33
83;Ecuador;Barley;32;4;18;27
83;Ecuador;Maize;32;36;18;26
83;Ecuador;Rice;1;5;15;16
83;Ecuador;Wheat;2;4;18;26
88;South Sudan;Maize (Unimodal);10;15;31;36
88;South Sudan;Sorghum (Unimodal);10;15;31;36
90;Mauritania;Maize;18;21;28;34
90;Mauritania;Millet;18;21;28;34
90;Mauritania;Rice (Irrigated);18;21;28;34
90;Mauritania;Sorghum;18;21;28;2
92;Angola;Maize;25;31;15;18
92;Angola;Millet;29;33;15;18
92;Angola;Sorghum;31;33;15;18
93;Nicaragua;Beans (Main);12;16;19;24
93;Nicaragua;Maize (Main);13;18;22;27
93;Nicaragua;Rice (Highland);13;18;24;30
93;Nicaragua;Sorghum (Main);14;20;25;33
96;Eritrea;Barley;17;20;29;36
96;Eritrea;Maize;17;20;29;36
96;Eritrea;Millet;17;20;29;36
96;Eritrea;Sorghum;17;20;29;36
96;Eritrea;Wheat;17;20;29;36
100;Honduras;Maize (Main);11;15;20;28
100;Honduras;Maize (Second);24;26;35;6
100;Honduras;Sorghum;10;14;34;3
105;Algeria;Barley;27;2;15;18
105;Algeria;Sorghum;27;2;15;18
105;Algeria;Wheat;27;2;15;18
108;Bolivia;Barley (Second);34;36;13;17
108;Bolivia;Maize;27;34;11;16
108;Bolivia;Potatoes;27;34;11;16
108;Bolivia;Rice;29;36;7;11
108;Bolivia;Soybean;31;34;11;16
108;Bolivia;Sweet Potatoes;32;36;14;23
108;Bolivia;Wheat (Andinean);32;35;12;15
111;Zambia;Maize;28;34;13;19
111;Zambia;Sorghum;32;35;13;18
112;Côte d'Ivoire;Cassava (Year1, year2);5;10;15;18
112;Côte d'Ivoire;Maize (Main);6;10;20;22
112;Côte d'Ivoire;Maize (Second);21;27;34;2
112;Côte d'Ivoire;Rice;8;12;33;36
112;Côte d'Ivoire;Yams;4;10;17;22
117;Guatemala;Maize (Main);10;15;20;32
117;Guatemala;Maize (Second);23;28;34;6
117;Guatemala;Rice;10;18;25;30
117;Guatemala;Sorghum (Main);10;15;20;32
117;Guatemala;Sorghum (Second);23;28;34;6
117;Guatemala;Wheat;11;17;26;32
118;Togo;Maize (Main);6;11;20;23
118;Togo;Maize (Second);23;27;33;1
118;Togo;Millet;13;17;31;34
118;Togo;Rice;13;17;31;34
118;Togo;Sorghum;13;17;31;34
118;Togo;Yams;6;11;18;23
120;Morocco;Barley;30;35;10;20
120;Morocco;Wheat;30;35;10;17
121;Tunisia;Barley;27;35;13;17
