crop_id,crop_name_fao56,category,root_depth_min_m,root_depth_max_m,p_table22_for_ETc_5mm_day,source,notes
rice_fields,Rice,debug,0.6,1.2,0.5,debug_defaults,Debug defaults matched to land-cover band names
vineyards,Vineyards,debug,0.8,1.5,0.45,debug_defaults,Debug defaults matched to land-cover band names
fruit_trees_and_berry_plantations,Fruit trees and berries,debug,1.0,1.8,0.5,debug_defaults,Debug defaults matched to land-cover band names
common_wheat,Common wheat,debug,1.0,1.5,0.55,debug_defaults,Debug defaults matched to land-cover band names
durum_wheat,Durum wheat,debug,1.0,1.5,0.55,debug_defaults,Debug defaults matched to land-cover band names
barley,Barley,debug,0.9,1.3,0.55,debug_defaults,Debug defaults matched to land-cover band names
oats,Oats,debug,0.9,1.3,0.55,debug_defaults,Debug defaults matched to land-cover band names
maize,Maize,debug,1.0,1.7,0.55,debug_defaults,Debug defaults matched to land-cover band names
rice,Rice,debug,0.6,1.2,0.5,debug_defaults,Debug defaults matched to land-cover band names
triticale,Triticale,debug,1.0,1.5,0.55,debug_defaults,Debug defaults matched to land-cover band names
other_cereals,Other cereals,debug,0.8,1.3,0.55,debug_defaults,Debug defaults matched to land-cover band names
