category,crop_id,crop_name_fao56,root_depth_min_m,root_depth_max_m,p_table22_for_ETc_5mm_day,p_adjustment_formula,source,notes
Small vegetables,broccoli,Broccoli,0.4,0.6,0.45,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Small vegetables,brussel_sprouts,Brussel Sprouts,0.4,0.6,0.45,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Small vegetables,cabbage,Cabbage,0.5,0.8,0.45,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Small vegetables,carrots,Carrots,0.5,1.0,0.35,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Small vegetables,cauliflower,Cauliflower,0.4,0.7,0.45,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Small vegetables,celery,Celery,0.3,0.5,0.2,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Small vegetables,garlic,Garlic,0.3,0.5,0.3,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Small vegetables,lettuce,Lettuce,0.3,0.5,0.3,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Small vegetables,onions_dry,Onions - dry,0.3,0.6,0.3,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Small vegetables,onions_green,Onions - green,0.3,0.6,0.3,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Small vegetables,onions_seed,Onions - seed,0.3,0.6,0.35,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Small vegetables,spinach,Spinach,0.3,0.5,0.2,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Small vegetables,radishes,Radishes,0.3,0.5,0.3,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Vegetables - Solanaceae,egg_plant,Egg Plant,0.7,1.2,0.45,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Vegetables - Solanaceae,sweet_peppers_bell,Sweet Peppers (bell),0.5,1.0,0.3,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Vegetables - Solanaceae,tomato,Tomato,0.7,1.5,0.4,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Vegetables - Cucurbitaceae,cantaloupe,Cantaloupe,0.9,1.5,0.45,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Vegetables - Cucurbitaceae,cucumber_fresh_market,Cucumber - Fresh Market,0.7,1.2,0.5,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Vegetables - Cucurbitaceae,cucumber_machine_harvest,Cucumber - Machine harvest,0.7,1.2,0.5,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Vegetables - Cucurbitaceae,pumpkin_winter_squash,"Pumpkin, Winter Squash",1.0,1.5,0.35,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Vegetables - Cucurbitaceae,squash_zucchini,"Squash, Zucchini",0.6,1.0,0.5,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
