category,crop_id,crop_name_fao56,root_depth_min_m,root_depth_max_m,p_table22_for_ETc_5mm_day,p_adjustment_formula,kc_ini,kc_ini_min,kc_ini_max,kc_mid,kc_mid_min,kc_mid_max,kc_end,kc_end_min,kc_end_max,max_crop_height_m,max_crop_height_min_m,max_crop_height_max_m,kc_condition,source,kc_source,notes,kc_notes
Small vegetables,broccoli,Broccoli,0.4,0.6,0.45,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)",0.70,0.7,0.7,1.05,1.05,1.05,0.95,0.95,0.95,0.3,0.3,0.3,standard Table 12 row,"FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8","FAO Irrigation and Drainage Paper 56, Table 12, Chapter 6",,
Small vegetables,brussel_sprouts,Brussel Sprouts,0.4,0.6,0.45,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)",0.70,0.7,0.7,1.05,1.05,1.05,0.95,0.95,0.95,0.4,0.4,0.4,standard Table 12 row,"FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8","FAO Irrigation and Drainage Paper 56, Table 12, Chapter 6",,
Small vegetables,cabbage,Cabbage,0.5,0.8,0.45,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)",0.70,0.7,0.7,1.05,1.05,1.05,0.95,0.95,0.95,0.4,0.4,0.4,standard Table 12 row,"FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8","FAO Irrigation and Drainage Paper 56, Table 12, Chapter 6",,
Small vegetables,carrots,Carrots,0.5,1.0,0.35,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)",0.70,0.7,0.7,1.05,1.05,1.05,0.95,0.95,0.95,0.3,0.3,0.3,standard Table 12 row,"FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8","FAO Irrigation and Drainage Paper 56, Table 12, Chapter 6",,
Small vegetables,cauliflower,Cauliflower,0.4,0.7,0.45,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)",0.70,0.7,0.7,1.05,1.05,1.05,0.95,0.95,0.95,0.4,0.4,0.4,standard Table 12 row,"FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8","FAO Irrigation and Drainage Paper 56, Table 12, Chapter 6",,
Small vegetables,celery,Celery,0.3,0.5,0.2,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)",0.70,0.7,0.7,1.05,1.05,1.05,1.00,1.0,1.0,0.6,0.6,0.6,standard Table 12 row,"FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8","FAO Irrigation and Drainage Paper 56, Table 12, Chapter 6",,
Small vegetables,garlic,Garlic,0.3,0.5,0.3,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)",0.70,0.7,0.7,1.00,1.0,1.0,0.70,0.7,0.7,0.3,0.3,0.3,standard Table 12 row,"FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8","FAO Irrigation and Drainage Paper 56, Table 12, Chapter 6",,
Small vegetables,lettuce,Lettuce,0.3,0.5,0.3,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)",0.70,0.7,0.7,1.00,1.0,1.0,0.95,0.95,0.95,0.3,0.3,0.3,standard Table 12 row,"FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8","FAO Irrigation and Drainage Paper 56, Table 12, Chapter 6",,
Small vegetables,onions_dry,Onions - dry,0.3,0.6,0.3,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)",0.70,0.7,0.7,1.05,1.05,1.05,0.75,0.75,0.75,0.4,0.4,0.4,standard Table 12 row,"FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8","FAO Irrigation and Drainage Paper 56, Table 12, Chapter 6",,
Small vegetables,onions_green,Onions - green,0.3,0.6,0.3,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)",0.70,0.7,0.7,1.00,1.0,1.0,1.00,1.0,1.0,0.3,0.3,0.3,standard Table 12 row,"FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8","FAO Irrigation and Drainage Paper 56, Table 12, Chapter 6",,
Small vegetables,onions_seed,Onions - seed,0.3,0.6,0.35,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)",0.70,0.7,0.7,1.05,1.05,1.05,0.80,0.8,0.8,0.5,0.5,0.5,standard Table 12 row,"FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8","FAO Irrigation and Drainage Paper 56, Table 12, Chapter 6",,
Small vegetables,spinach,Spinach,0.3,0.5,0.2,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)",0.70,0.7,0.7,1.00,1.0,1.0,0.95,0.95,0.95,0.3,0.3,0.3,standard Table 12 row,"FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8","FAO Irrigation and Drainage Paper 56, Table 12, Chapter 6",,
Small vegetables,radishes,Radishes,0.3,0.5,0.3,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)",0.70,0.7,0.7,0.90,0.9,0.9,0.85,0.85,0.85,0.3,0.3,0.3,standard Table 12 row,"FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8","FAO Irrigation and Drainage Paper 56, Table 12, Chapter 6",,
Vegetables - Solanaceae,egg_plant,Egg Plant,0.7,1.2,0.45,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)",0.60,0.6,0.6,1.05,1.05,1.05,0.90,0.9,0.9,0.8,0.8,0.8,standard Table 12 row,"FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8","FAO Irrigation and Drainage Paper 56, Table 12, Chapter 6",,
Vegetables - Solanaceae,sweet_peppers_bell,Sweet Peppers (bell),0.5,1.0,0.3,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)",0.60,0.6,0.6,1.05,1.05,1.05,0.90,0.9,0.9,0.7,0.7,0.7,standard Table 12 row,"FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8","FAO Irrigation and Drainage Paper 56, Table 12, Chapter 6",,"FAO-56 footnote: for staked peppers reaching 1.5-2 m, Kc_mid around 1.15 can be used."
Vegetables - Solanaceae,tomato,Tomato,0.7,1.5,0.4,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)",0.60,0.6,0.6,1.15,1.15,1.15,0.70-0.90,0.7,0.9,0.6,0.6,0.6,standard Table 12 row,"FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8","FAO Irrigation and Drainage Paper 56, Table 12, Chapter 6",,"FAO-56 footnote: for staked tomatoes reaching 1.5-2 m, Kc_mid around 1.20 can be used."
Vegetables - Cucurbitaceae,cantaloupe,Cantaloupe,0.9,1.5,0.45,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)",0.50,0.5,0.5,0.85,0.85,0.85,0.60,0.6,0.6,0.3,0.3,0.3,standard Table 12 row,"FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8","FAO Irrigation and Drainage Paper 56, Table 12, Chapter 6",,
