name,root_depth_max_m,Kc_ini,Kc_mid,Kc_end
broccoli,0.6,0.70,1.05,0.95
brussel_sprouts,0.6,0.70,1.05,0.95
cabbage,0.8,0.70,1.05,0.95
carrot,1.0,0.70,1.05,0.95
cauliflower,0.7,0.70,1.05,0.95
celery,0.5,0.70,1.05,1.00
garlic,0.5,0.70,1.00,0.70
lettuce,0.5,0.70,1.00,0.95
onion_dry,0.6,0.70,1.05,0.75
onion_green,0.6,0.70,1.00,1.00
onion_seed,0.6,0.70,1.05,0.80
spinach,0.5,0.70,1.00,0.95
radish,0.5,0.70,0.90,0.85
eggplant,1.2,0.60,1.05,0.90
sweet_pepper,1.0,0.60,1.05,0.90
tomato,1.5,0.60,1.15,0.70-0.90
cantaloupe,1.5,0.50,0.85,0.60
cucumber_fresh,1.2,0.60,1.00,0.75
cucumber_machine,1.2,0.50,1.00,0.90
pumpkin_winter_squash,1.5,0.50,1.00,0.80
zucchini,1.0,0.50,0.95,0.75
sweet_melon,1.5,0.50,1.05,0.75
watermelon,1.5,0.40,1.00,0.75
beet_table,1.0,0.50,1.05,0.95
cassava_year1,0.8,0.30,0.80,0.30
cassava_year2,1.0,0.30,1.10,0.50
parsnip,1.0,0.50,1.05,0.95
potato,0.6,0.50,1.15,0.75
sweet_potato,1.5,0.50,1.15,0.65
turnip_rutabaga,1.0,0.50,1.10,0.95
sugar_beet,1.2,0.35,1.20,0.70
bean_green,0.7,0.50,1.05,0.90
bean_dry_pulses,0.9,0.40,1.15,0.35
chickpea,1.0,0.40,1.00,0.35
fababean_fresh,0.7,0.50,1.15,1.10
fababean_dry_seed,0.7,0.50,1.15,0.30
garbanzo,1.0,0.40,1.15,0.35
green_gram_cowpea,1.0,0.40,1.05,0.60-0.35
groundnut,1.0,0.40,1.15,0.60
lentil,0.8,0.40,1.10,0.30
pea_fresh,1.0,0.50,1.15,1.10
pea_dry_seed,1.0,0.40,1.15,0.30
soybean,1.3,0.40,1.15,0.50
artichoke,0.9,0.50,1.00,0.95
asparagus,1.8,0.50,0.95,0.30
mint,0.8,0.60,1.15,1.10
strawberry,0.3,0.40,0.85,0.75
cotton,1.7,0.35,1.15-1.20,0.70-0.50
flax,1.5,0.35,1.10,0.25
sisal,1.0,0.35,0.4-0.7,0.4-0.7
castorbean,2.0,0.35,1.15,0.55
rapeseed_canola,1.5,0.35,1.0-1.15,0.35
